customer_id,age,gender,annual_income,purchase_amount,purchase_date,city,product_category,rating,loyalty_member,age_group,income_level
1860,54,Male,64653,4839,18-09-2018 00:00,Mumbai,Home,3.9,0,46-55,Middle Income
6390,43,Male,110481,286,15-10-2022 00:00,Mumbai,Electronics,4.6,1,36-45,High Income
6226,23,Female,72802,1653,23-01-2023 00:00,Mumbai,Home,3.2,0,18-25,Middle Income
6191,38,Male,27549,2036,03-07-2021 00:00,Mumbai,Electronics,4.2,1,36-45,Low Income
4772,49,Male,98933,1244,29-12-2019 00:00,Mumbai,Electronics,3.4,0,46-55,High Income
4092,52,Female,45362,2331,02-03-2023 00:00,Chennai,Electronics,2.5,1,46-55,Middle Income
6734,32,Female,67842,1505,18-12-2021 00:00,Delhi,Electronics,3.5,1,26-35,Middle Income
1466,22,Male,66539,2310,16-05-2019 00:00,Chennai,Electronics,2,0,18-25,Middle Income
6334,63,Male,53717,3716,12-10-2020 00:00,Delhi,Electronics,3.5,1,56-65,Middle Income
5426,67,Female,74596,2905,13-10-2018 00:00,Chennai,Electronics,1.7,0,65+,Middle Income
4444,23,Male,43016,1583,07-01-2018 00:00,Chennai,Electronics,3.7,1,18-25,Middle Income
4171,42,Male,75200,3619,01-03-2022 00:00,Chennai,Home,3,0,36-45,Middle Income
3919,63,Male,100268,2283,31-03-2023 00:00,Mumbai,Electronics,2.1,1,56-65,High Income
1130,57,Female,80287,2739,07-05-2021 00:00,Mumbai,Home,1.8,0,56-65,High Income
2685,46,Male,135042,81,15-06-2022 00:00,Delhi,Electronics,3.9,-1,46-55,High Income
1769,24,Female,147922,580,21-10-2019 00:00,Kolkata,Electronics,4.7,0,18-25,High Income
3391,57,Male,112447,581,25-07-2020 00:00,Chennai,Home,3.6,-1,56-65,High Income
6611,30,Male,103402,2424,12-12-2021 00:00,Hyderabad,Home,1.7,0,26-35,High Income
3433,55,Female,62607,1904,13-08-2022 00:00,Hyderabad,Home,3.8,1,46-55,Middle Income
6311,35,Female,47621,916,21-02-2018 00:00,Mumbai,Home,3.3,1,26-35,Middle Income
6051,19,Female,32823,4479,31-08-2018 00:00,Mumbai,Clothing,3.9,0,18-25,Low Income
2184,25,Male,49986,4731,27-05-2021 00:00,Mumbai,Home,1.7,0,18-25,Middle Income
5555,28,Male,141682,804,06-02-2019 00:00,Bangalore,Home,3.2,1,26-35,High Income
4385,50,Female,84325,397,27-08-2020 00:00,Kolkata,Home,4.4,1,46-55,High Income
5117,43,Male,136903,523,19-04-2018 00:00,Mumbai,Home,1.3,0,36-45,High Income
5843,55,Female,147925,3578,06-10-2021 00:00,Bangalore,Electronics,4.1,0,46-55,High Income
3904,65,Male,139404,300,09-07-2020 00:00,Mumbai,Clothing,4.9,0,56-65,High Income
2082,37,Female,74973,1269,30-10-2020 00:00,Hyderabad,Electronics,3.5,0,36-45,Middle Income
3558,43,Male,137225,582,21-07-2018 00:00,Chennai,Clothing,4.3,1,36-45,High Income
